Stern Radius Temperatur Leuchtkraft
Sirius     2         95          22
Canopus   66         77       13500
Toliman    1         58           2
Arctur    17         46         110
Wega       2         95          49
Capella   27         37         129
Rigel     50        115       40000
Procyon    2         65           7
Archernar  3        200        1070
Beteigeuze 270       35        9400
Altair     2         70          11
Aldeberan 22         43         149
Spica      2        270        2180
Antares  300         36       10700
Polarstern 41        63        2370
